Recipe,Lot,Wafer,MAX Area Void,MAX Diameter Void,Total NG,DieId,BumpId,Area Percent,Diameter Percent
G9,d26,126173086.17,28.45,53.34,890.00,60,4047,9.66,31.09
G9,d26,126173086.17,28.45,53.34,890.00,60,4048,11.89,34.49
G9,d26,126173086.17,28.45,53.34,890.00,60,4050,14.95,38.66
G9,d26,126173086.17,28.45,53.34,890.00,60,4053,13.68,36.98
G9,d26,126173086.17,28.45,53.34,890.00,60,4054,8.48,29.12
G9,d26,126173086.17,28.45,53.34,890.00,60,4056,10.06,31.72
G9,d26,126173086.17,28.45,53.34,890.00,60,4121,10.58,32.53
G9,d26,126173086.17,28.45,53.34,890.00,60,4149,11.77,34.31
G9,d26,126173086.17,28.45,53.34,890.00,60,4152,8.13,28.52
G9,d26,126173086.17,28.45,53.34,890.00,60,4153,14.79,38.46
G9,d26,126173086.17,28.45,53.34,890.00,60,4154,11.65,34.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4155,10.76,32.80
G9,d26,126173086.17,28.45,53.34,890.00,60,4157,10.62,32.58
G9,d26,126173086.17,28.45,53.34,890.00,60,4158,9.19,30.31
G9,d26,126173086.17,28.45,53.34,890.00,60,4159,13.58,36.85
G9,d26,126173086.17,28.45,53.34,890.00,60,4160,14.49,38.07
G9,d26,126173086.17,28.45,53.34,890.00,60,4164,8.87,29.78
G9,d26,126173086.17,28.45,53.34,890.00,60,4222,8.41,29.01
G9,d26,126173086.17,28.45,53.34,890.00,60,4238,12.07,34.75
G9,d26,126173086.17,28.45,53.34,890.00,60,4240,12.27,35.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4241,8.94,29.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4243,8.33,28.87
G9,d26,126173086.17,28.45,53.34,890.00,60,4247,9.72,31.18
G9,d26,126173086.17,28.45,53.34,890.00,60,4294,8.15,28.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4295,15.38,39.22
G9,d26,126173086.17,28.45,53.34,890.00,60,4327,11.85,34.42
G9,d26,126173086.17,28.45,53.34,890.00,60,4328,13.74,37.06
G9,d26,126173086.17,28.45,53.34,890.00,60,4329,11.51,33.93
G9,d26,126173086.17,28.45,53.34,890.00,60,4330,15.55,39.44
G9,d26,126173086.17,28.45,53.34,890.00,60,4331,9.55,30.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4335,8.49,29.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4397,11.56,33.99
G9,d26,126173086.17,28.45,53.34,890.00,60,4398,15.11,38.88
G9,d26,126173086.17,28.45,53.34,890.00,60,4412,10.53,32.44
G9,d26,126173086.17,28.45,53.34,890.00,60,4413,28.45,53.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4414,9.43,30.71
G9,d26,126173086.17,28.45,53.34,890.00,60,4416,16.40,40.50
G9,d26,126173086.17,28.45,53.34,890.00,60,4418,17.26,41.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4420,9.95,31.54
G9,d26,126173086.17,28.45,53.34,890.00,60,4421,8.46,29.09
G9,d26,126173086.17,28.45,53.34,890.00,60,4429,11.56,34.00
G9,d26,126173086.17,28.45,53.34,890.00,60,4430,8.84,29.74
G9,d26,126173086.17,28.45,53.34,890.00,60,4431,12.79,35.77
G9,d26,126173086.17,28.45,53.34,890.00,60,4432,13.94,37.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4433,18.81,43.37
G9,d26,126173086.17,28.45,53.34,890.00,60,4523,8.35,28.90
G9,d26,126173086.17,28.45,53.34,890.00,60,4526,16.27,40.34
G9,d26,126173086.17,28.45,53.34,890.00,60,4527,11.99,34.62
G9,d26,126173086.17,28.45,53.34,890.00,60,4528,8.99,29.98
G9,d26,126173086.17,28.45,53.34,890.00,60,4530,9.25,30.42
G9,d26,126173086.17,28.45,53.34,890.00,60,4531,14.84,38.53
G9,d26,126173086.17,28.45,53.34,890.00,60,4533,13.81,37.16
G9,d26,126173086.17,28.45,53.34,890.00,60,4612,13.79,37.13
G9,d26,126173086.17,28.45,53.34,890.00,60,4614,8.04,28.35
G9,d26,126173086.17,28.45,53.34,890.00,60,4615,11.17,33.41
G9,d26,126173086.17,28.45,53.34,890.00,60,4621,14.45,38.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4622,10.98,33.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4623,13.02,36.08
G9,d26,126173086.17,28.45,53.34,890.00,60,4691,9.47,30.77
G9,d26,126173086.17,28.45,53.34,890.00,60,4693,8.42,29.02
G9,d26,126173086.17,28.45,53.34,890.00,60,4694,9.89,31.44
G9,d26,126173086.17,28.45,53.34,890.00,60,4698,14.65,38.27
G9,d26,126173086.17,28.45,53.34,890.00,60,4699,12.15,34.85
G9,d26,126173086.17,28.45,53.34,890.00,60,4763,13.60,36.88
G9,d26,126173086.17,28.45,53.34,890.00,60,4764,12.01,34.66
G9,d26,126173086.17,28.45,53.34,890.00,60,4778,16.58,40.72
G9,d26,126173086.17,28.45,53.34,890.00,60,4779,11.89,34.49
G9,d26,126173086.17,28.45,53.34,890.00,60,4780,10.55,32.48
G9,d26,126173086.17,28.45,53.34,890.00,60,4781,12.04,34.70
G9,d26,126173086.17,28.45,53.34,890.00,60,4788,8.50,29.16
G9,d26,126173086.17,28.45,53.34,890.00,60,4789,10.98,33.14
G9,d26,126173086.17,28.45,53.34,890.00,60,4791,8.96,29.94
G9,d26,126173086.17,28.45,53.34,890.00,60,4793,8.11,28.47
G9,d26,126173086.17,28.45,53.34,890.00,60,4794,10.63,32.60
G9,d26,126173086.17,28.45,53.34,890.00,60,4795,9.79,31.30
G9,d26,126173086.17,28.45,53.34,890.00,60,4797,8.86,29.76
G9,d26,126173086.17,28.45,53.34,890.00,60,4894,13.01,36.07
G9,d26,126173086.17,28.45,53.34,890.00,60,4897,12.12,34.82
G9,d26,126173086.17,28.45,53.34,890.00,60,4898,13.84,37.20
G9,d26,126173086.17,28.45,53.34,890.00,60,4903,9.90,31.46
G9,d26,126173086.17,28.45,53.34,890.00,60,4964,10.22,31.97
G9,d26,126173086.17,28.45,53.34,890.00,60,4966,10.89,33.00
G9,d26,126173086.17,28.45,53.34,890.00,60,4976,8.37,28.93
G9,d26,126173086.17,28.45,53.34,890.00,60,4988,10.60,32.55
G9,d26,126173086.17,28.45,53.34,890.00,60,4989,10.66,32.65
G9,d26,126173086.17,28.45,53.34,890.00,60,4991,8.14,28.52
G9,d26,126173086.17,28.45,53.34,890.00,60,4992,9.20,30.33
G9,d26,126173086.17,28.45,53.34,890.00,60,5067,8.19,28.62
G9,d26,126173086.17,28.45,53.34,890.00,60,5070,14.54,38.13
G9,d26,126173086.17,28.45,53.34,890.00,60,5072,9.37,30.61
G9,d26,126173086.17,28.45,53.34,890.00,60,5077,9.50,30.82
G9,d26,126173086.17,28.45,53.34,890.00,60,5079,11.51,33.93
G9,d26,126173086.17,28.45,53.34,890.00,60,5134,8.29,28.79
G9,d26,126173086.17,28.45,53.34,890.00,60,5138,12.03,34.69
G9,d26,126173086.17,28.45,53.34,890.00,60,5147,9.96,31.55
G9,d26,126173086.17,28.45,53.34,890.00,60,5148,14.24,37.74
G9,d26,126173086.17,28.45,53.34,890.00,60,5160,8.64,29.39
G9,d26,126173086.17,28.45,53.34,890.00,60,5161,12.34,35.12
G9,d26,126173086.17,28.45,53.34,890.00,60,5162,10.03,31.68
G9,d26,126173086.17,28.45,53.34,890.00,60,5163,19.19,43.81
G9,d26,126173086.17,28.45,53.34,890.00,60,5164,9.58,30.94
G9,d26,126173086.17,28.45,53.34,890.00,60,5259,9.65,31.07
G9,d26,126173086.17,28.45,53.34,890.00,60,5261,9.91,31.48
G9,d26,126173086.17,28.45,53.34,890.00,60,5262,11.79,34.34
G9,d26,126173086.17,28.45,53.34,890.00,60,5263,12.34,35.12
G9,d26,126173086.17,28.45,53.34,890.00,60,5266,8.51,29.18
G9,d26,126173086.17,28.45,53.34,890.00,60,5267,13.76,37.09
G9,d26,126173086.17,28.45,53.34,890.00,60,5268,8.46,29.09
G9,d26,126173086.17,28.45,53.34,890.00,60,5278,11.39,33.75
G9,d26,126173086.17,28.45,53.34,890.00,60,5279,8.53,29.21
G9,d26,126173086.17,28.45,53.34,890.00,60,5334,8.99,29.99
G9,d26,126173086.17,28.45,53.34,890.00,60,5337,10.73,32.76
G9,d26,126173086.17,28.45,53.34,890.00,60,5344,15.36,39.19
G9,d26,126173086.17,28.45,53.34,890.00,60,5351,9.39,30.64
G9,d26,126173086.17,28.45,53.34,890.00,60,5354,10.23,31.99
G9,d26,126173086.17,28.45,53.34,890.00,60,5355,12.70,35.64
G9,d26,126173086.17,28.45,53.34,890.00,60,5356,10.20,31.94
G9,d26,126173086.17,28.45,53.34,890.00,60,5425,12.23,34.97
G9,d26,126173086.17,28.45,53.34,890.00,60,5427,8.55,29.24
G9,d26,126173086.17,28.45,53.34,890.00,60,5430,9.95,31.55
G9,d26,126173086.17,28.45,53.34,890.00,60,5433,10.03,31.68
G9,d26,126173086.17,28.45,53.34,890.00,60,5434,11.77,34.31
G9,d26,126173086.17,28.45,53.34,890.00,60,5436,11.41,33.78
G9,d26,126173086.17,28.45,53.34,890.00,60,5499,14.93,38.65
G9,d26,126173086.17,28.45,53.34,890.00,60,5513,15.85,39.81
G9,d26,126173086.17,28.45,53.34,890.00,60,5515,8.83,29.72
G9,d26,126173086.17,28.45,53.34,890.00,60,5516,10.79,32.85
G9,d26,126173086.17,28.45,53.34,890.00,60,5521,11.99,34.62
G9,d26,126173086.17,28.45,53.34,890.00,60,5523,10.01,31.64
G9,d26,126173086.17,28.45,53.34,890.00,60,5524,10.45,32.33
G9,d26,126173086.17,28.45,53.34,890.00,60,5526,11.06,33.26
G9,d26,126173086.17,28.45,53.34,890.00,60,5620,14.80,38.46
G9,d26,126173086.17,28.45,53.34,890.00,60,5629,9.76,31.24
G9,d26,126173086.17,28.45,53.34,890.00,60,5630,10.40,32.25
G9,d26,126173086.17,28.45,53.34,890.00,60,5632,10.07,31.74
G9,d26,126173086.17,28.45,53.34,890.00,60,5633,9.02,30.03
G9,d26,126173086.17,28.45,53.34,890.00,60,5634,9.46,30.76
G9,d26,126173086.17,28.45,53.34,890.00,60,5636,10.30,32.10
G9,d26,126173086.17,28.45,53.34,890.00,60,5697,8.21,28.65
G9,d26,126173086.17,28.45,53.34,890.00,60,5719,12.14,34.85
G9,d26,126173086.17,28.45,53.34,890.00,60,5776,11.87,34.45
G9,d26,126173086.17,28.45,53.34,890.00,60,5802,8.58,29.29
G9,d26,126173086.17,28.45,53.34,890.00,60,5803,9.43,30.71
G9,d26,126173086.17,28.45,53.34,890.00,60,5866,10.96,33.11
G9,d26,126173086.17,28.45,53.34,890.00,60,5890,9.54,30.89
G9,d26,126173086.17,28.45,53.34,890.00,60,5897,9.96,31.56
G9,d26,126173086.17,28.45,53.34,890.00,60,5898,12.18,34.90
G9,d26,126173086.17,28.45,53.34,890.00,60,5899,13.50,36.74
G9,d26,126173086.17,28.45,53.34,890.00,60,5900,10.38,32.22
G9,d26,126173086.17,28.45,53.34,890.00,60,5999,8.36,28.92
G9,d26,126173086.17,28.45,53.34,890.00,60,6000,17.48,41.81
G9,d26,126173086.17,28.45,53.34,890.00,60,6001,8.46,29.08
G9,d26,126173086.17,28.45,53.34,890.00,60,6064,8.84,29.73
G9,d26,126173086.17,28.45,53.34,890.00,60,6065,11.54,33.97
G9,d26,126173086.17,28.45,53.34,890.00,60,6066,15.63,39.54
G9,d26,126173086.17,28.45,53.34,890.00,60,6067,9.26,30.43
G9,d26,126173086.17,28.45,53.34,890.00,60,6081,10.03,31.68
G9,d26,126173086.17,28.45,53.34,890.00,60,6084,11.58,34.03
G9,d26,126173086.17,28.45,53.34,890.00,60,6087,11.33,33.65
G9,d26,126173086.17,28.45,53.34,890.00,60,6162,12.91,35.93
G9,d26,126173086.17,28.45,53.34,890.00,60,6163,11.99,34.63
G9,d26,126173086.17,28.45,53.34,890.00,60,6164,10.29,32.08
G9,d26,126173086.17,28.45,53.34,890.00,60,6247,8.79,29.65
G9,d26,126173086.17,28.45,53.34,890.00,60,6251,12.46,35.29
G9,d26,126173086.17,28.45,53.34,890.00,60,6254,12.34,35.13
G9,d26,126173086.17,28.45,53.34,890.00,60,6255,10.30,32.10
G9,d26,126173086.17,28.45,53.34,890.00,60,6259,8.07,28.41
G9,d26,126173086.17,28.45,53.34,890.00,60,6260,8.22,28.67
G9,d26,126173086.17,28.45,53.34,890.00,60,6358,8.16,28.57
G9,d26,126173086.17,28.45,53.34,890.00,60,6364,8.53,29.21
G9,d26,126173086.17,28.45,53.34,890.00,60,6369,8.22,28.67
G9,d26,126173086.17,28.45,53.34,890.00,60,6511,8.47,29.10
G9,d26,126173086.17,28.45,53.34,890.00,60,6514,8.45,29.07
G9,d26,126173086.17,28.45,53.34,890.00,60,6515,8.61,29.34
G9,d26,126173086.17,28.45,53.34,890.00,60,6591,15.11,38.87
G9,d26,126173086.17,28.45,53.34,890.00,60,6671,9.38,30.63
G9,d26,126173086.17,28.45,53.34,890.00,60,6767,13.53,36.78
G9,d26,126173086.17,28.45,53.34,890.00,60,6791,10.00,31.62
G9,d26,126173086.17,28.45,53.34,890.00,60,6792,8.31,28.83
G9,d26,126173086.17,28.45,53.34,890.00,60,6968,8.92,29.87
G9,d26,126173086.17,28.45,53.34,890.00,60,6969,9.16,30.26
G9,d26,126173086.17,28.45,53.34,890.00,60,7045,8.81,29.68
G9,d26,126173086.17,28.45,53.34,890.00,60,7052,8.49,29.13
G9,d26,126173086.17,28.45,53.34,890.00,60,7087,11.17,33.42
G9,d26,126173086.17,28.45,53.34,890.00,60,7154,8.88,29.80
G9,d26,126173086.17,28.45,53.34,890.00,60,7159,10.75,32.78
G9,d26,126173086.17,28.45,53.34,890.00,60,7161,8.10,28.45
G9,d26,126173086.17,28.45,53.34,890.00,228,1549,8.58,29.29
G9,d26,126173086.17,28.45,53.34,890.00,228,1735,8.04,28.36
G9,d26,126173086.17,28.45,53.34,890.00,228,1841,8.91,29.84
G9,d26,126173086.17,28.45,53.34,890.00,228,1918,8.11,28.47
G9,d26,126173086.17,28.45,53.34,890.00,228,1981,8.36,28.91
G9,d26,126173086.17,28.45,53.34,890.00,228,2027,10.07,31.73
G9,d26,126173086.17,28.45,53.34,890.00,228,2290,9.94,31.53
G9,d26,126173086.17,28.45,53.34,890.00,228,2346,11.62,34.08
G9,d26,126173086.17,28.45,53.34,890.00,228,2412,9.93,31.51
G9,d26,126173086.17,28.45,53.34,890.00,228,2692,9.93,31.51
G9,d26,126173086.17,28.45,53.34,890.00,228,2848,9.79,31.30
G9,d26,126173086.17,28.45,53.34,890.00,228,2860,9.35,30.58
G9,d26,126173086.17,28.45,53.34,890.00,228,2918,9.94,31.53
G9,d26,126173086.17,28.45,53.34,890.00,228,3052,10.30,32.09
G9,d26,126173086.17,28.45,53.34,890.00,228,3059,9.25,30.42
G9,d26,126173086.17,28.45,53.34,890.00,228,3119,14.11,37.56
G9,d26,126173086.17,28.45,53.34,890.00,228,3140,10.77,32.81
G9,d26,126173086.17,28.45,53.34,890.00,228,3211,14.24,37.73
G9,d26,126173086.17,28.45,53.34,890.00,228,3224,10.66,32.65
G9,d26,126173086.17,28.45,53.34,890.00,228,3288,11.85,34.43
G9,d26,126173086.17,28.45,53.34,890.00,228,3306,8.24,28.70
G9,d26,126173086.17,28.45,53.34,890.00,228,3410,12.22,34.95
G9,d26,126173086.17,28.45,53.34,890.00,228,3419,13.84,37.20
G9,d26,126173086.17,28.45,53.34,890.00,228,3486,9.38,30.63
G9,d26,126173086.17,28.45,53.34,890.00,228,3509,10.40,32.25
G9,d26,126173086.17,28.45,53.34,890.00,228,3512,9.64,31.05
G9,d26,126173086.17,28.45,53.34,890.00,228,3513,9.48,30.79
G9,d26,126173086.17,28.45,53.34,890.00,228,3514,10.03,31.66
G9,d26,126173086.17,28.45,53.34,890.00,228,3591,8.55,29.24
G9,d26,126173086.17,28.45,53.34,890.00,228,3659,10.31,32.11
