BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
2685,1,-7.4228,-3.1376,-0.0039,0.0015,2.3449,2.3449,10.5021,4.3187,1.1029
2686,1,-7.3456,-3.1372,-0.0007,0.0001,6.4574,6.4574,28.0086,32.7498,7.8448
2691,1,-6.6837,-3.1346,-0.0015,-0.0008,4.7385,4.7385,21.0866,17.6345,4.4464
2692,1,-6.6056,-3.1350,-0.0004,-0.0005,2.3449,2.3449,9.9422,4.3187,0.9885
2695,1,-6.1903,-3.1321,-0.0027,0.0005,3.5174,3.5174,14.3400,9.7170,2.0564
2696,1,-6.1118,-3.1319,-0.0017,0.0017,2.8719,2.8719,12.0483,6.4780,1.4516
2697,1,-5.9432,-3.1313,-0.0005,-0.0003,6.7353,6.7353,28.9529,35.6289,8.3827
2698,1,-5.8653,-3.1312,-0.0032,0.0005,1.9146,1.9146,8.5010,2.8791,0.7227
2759,1,-6.0280,-3.1507,-0.0014,0.0054,2.6217,2.6217,10.7088,5.3983,1.1468
2759,2,-6.0280,-3.1507,0.0013,0.0009,2.9506,2.9506,12.0524,6.8379,1.4526
2773,1,-6.8070,-3.1637,-0.0005,0.0000,3.3846,3.3846,15.8750,8.9972,2.5202
2776,1,-6.2355,-3.1611,-0.0025,0.0034,1.9146,1.9146,8.1958,2.8791,0.6717
2776,2,-6.2355,-3.1611,-0.0051,-0.0004,3.8293,3.8293,16.3915,11.5164,2.6868
2777,1,-5.8195,-3.1598,-0.0022,0.0012,1.5136,1.5136,6.7451,1.7994,0.4550
2778,1,-5.7412,-3.1593,0.0002,0.0004,2.3449,2.3449,10.6803,4.3187,1.1407
2780,1,-5.3138,-3.1576,0.0038,0.0019,3.8293,3.8293,16.8281,11.5164,2.8318
2850,1,-5.5611,-3.2064,-0.0006,-0.0007,2.9506,2.9506,13.2945,6.8379,1.7674
2851,1,-5.3924,-3.2059,-0.0059,0.0037,2.1406,2.1406,9.3741,3.5989,0.8787
2852,1,-5.3143,-3.2056,0.0003,0.0024,2.5328,2.5328,11.4493,5.0385,1.3109
2857,1,-7.3001,-3.2138,0.0005,-0.0028,2.5328,2.5328,11.5470,5.0384,1.3333
2858,1,-7.2214,-3.2138,-0.0011,0.0007,4.7866,4.7866,23.5180,17.9944,5.5310
2859,1,-6.7281,-3.2119,-0.0003,0.0004,2.5328,2.5328,10.8786,5.0385,1.1834
2861,1,-6.2353,-3.2091,-0.0005,-0.0005,3.6453,3.6453,14.9530,10.4367,2.2359
2918,1,-6.0273,-3.2182,-0.0016,0.0014,1.9146,1.9146,8.0225,2.8791,0.6436
2920,1,-6.5206,-3.2211,-0.0029,0.0003,3.5174,3.5174,14.1684,9.7170,2.0074
2941,1,-7.3449,-3.2434,0.0000,-0.0049,1.9146,1.9146,8.6793,2.8791,0.7533
